Date,Open,High,Low,Close
04/27/2018,"2,675.47","2,677.35","2,659.01","2,669.91"
04/26/2018,"2,651.65","2,676.48","2,647.16","2,666.94"
04/25/2018,"2,634.92","2,645.30","2,612.67","2,639.40"
04/24/2018,"2,680.80","2,683.55","2,617.32","2,634.56"
04/23/2018,"2,675.40","2,682.86","2,657.99","2,670.29"
04/20/2018,"2,692.56","2,693.94","2,660.61","2,670.14"
04/19/2018,"2,701.16","2,702.84","2,681.90","2,693.13"
04/18/2018,"2,710.11","2,717.49","2,703.63","2,708.64"
04/17/2018,"2,692.74","2,713.34","2,692.05","2,706.39"
04/16/2018,"2,670.10","2,686.49","2,665.16","2,677.84"
04/13/2018,"2,676.90","2,680.26","2,645.05","2,656.30"
04/12/2018,"2,653.83","2,674.72","2,653.83","2,663.99"
04/11/2018,"2,643.89","2,661.43","2,639.25","2,642.19"
04/10/2018,"2,638.41","2,665.45","2,635.78","2,656.87"
04/09/2018,"2,617.18","2,653.55","2,610.79","2,613.16"
04/06/2018,"2,645.82","2,656.88","2,586.27","2,604.47"
04/05/2018,"2,657.36","2,672.08","2,649.58","2,662.84"
04/04/2018,"2,584.04","2,649.86","2,573.61","2,644.69"
04/03/2018,"2,592.17","2,619.14","2,575.49","2,614.45"
04/02/2018,"2,633.45","2,638.30","2,553.80","2,581.88"
03/29/2018,"2,614.41","2,659.07","2,609.72","2,640.87"
03/28/2018,"2,611.30","2,632.65","2,593.06","2,605.00"
03/27/2018,"2,667.57","2,674.78","2,596.12","2,612.62"
03/26/2018,"2,619.35","2,661.36","2,601.81","2,658.55"
03/23/2018,"2,646.71","2,657.67","2,585.89","2,588.26"
03/22/2018,"2,691.36","2,695.68","2,641.59","2,643.69"
03/21/2018,"2,714.99","2,739.14","2,709.79","2,711.93"
03/20/2018,"2,715.05","2,724.22","2,710.05","2,716.94"
03/19/2018,"2,741.38","2,741.38","2,694.59","2,712.92"
03/16/2018,"2,750.57","2,761.85","2,749.97","2,752.01"
03/15/2018,"2,754.27","2,763.03","2,741.47","2,747.33"
03/14/2018,"2,774.06","2,777.11","2,744.38","2,749.48"
03/13/2018,"2,792.31","2,801.90","2,758.68","2,765.31"
03/12/2018,"2,790.54","2,796.98","2,779.26","2,783.02"
03/09/2018,"2,752.91","2,786.57","2,751.54","2,786.57"
03/08/2018,"2,732.75","2,740.45","2,722.65","2,738.97"
03/07/2018,"2,710.18","2,730.60","2,701.74","2,726.80"
03/06/2018,"2,730.18","2,732.08","2,711.26","2,728.12"
03/05/2018,"2,681.06","2,728.09","2,675.75","2,720.94"
03/02/2018,"2,658.89","2,696.25","2,647.32","2,691.25"
03/01/2018,"2,715.22","2,730.89","2,659.65","2,677.67"
02/28/2018,"2,753.78","2,761.52","2,713.54","2,713.83"
02/27/2018,"2,780.45","2,789.15","2,744.22","2,744.28"
02/26/2018,"2,757.37","2,780.64","2,753.78","2,779.60"
02/23/2018,"2,715.80","2,747.76","2,713.74","2,747.30"
02/22/2018,"2,710.42","2,731.26","2,697.77","2,703.96"
02/21/2018,"2,720.53","2,747.75","2,701.29","2,701.33"
02/20/2018,"2,726.01","2,737.60","2,706.76","2,716.26"
02/16/2018,"2,727.14","2,754.42","2,725.11","2,732.22"
02/15/2018,"2,713.46","2,731.51","2,689.82","2,731.20"
02/14/2018,"2,651.21","2,702.10","2,648.87","2,698.63"
02/13/2018,"2,646.27","2,668.84","2,637.08","2,662.94"
02/12/2018,"2,636.75","2,672.61","2,622.45","2,656.00"
02/09/2018,"2,601.78","2,638.67","2,532.69","2,619.55"
02/08/2018,"2,685.01","2,685.27","2,580.56","2,581.00"
02/07/2018,"2,690.95","2,727.67","2,681.33","2,681.66"
02/06/2018,"2,614.78","2,701.04","2,593.07","2,695.14"
02/05/2018,"2,741.06","2,763.39","2,638.17","2,648.94"
02/02/2018,"2,808.92","2,808.92","2,759.97","2,762.13"
02/01/2018,"2,816.45","2,835.96","2,812.70","2,821.98"
01/31/2018,"2,832.41","2,839.26","2,813.04","2,823.81"
01/30/2018,"2,832.74","2,837.75","2,818.27","2,822.43"
01/29/2018,"2,867.23","2,870.62","2,851.48","2,853.53"
01/26/2018,"2,847.48","2,872.87","2,846.18","2,872.87"
01/25/2018,"2,846.24","2,848.56","2,830.94","2,839.25"
01/24/2018,"2,845.42","2,852.97","2,824.81","2,837.54"
01/23/2018,"2,835.05","2,842.24","2,830.59","2,839.13"
01/22/2018,"2,809.16","2,833.03","2,808.12","2,832.97"
01/19/2018,"2,802.60","2,810.33","2,798.08","2,810.30"
01/18/2018,"2,802.40","2,805.83","2,792.56","2,798.03"
01/17/2018,"2,784.99","2,807.04","2,778.38","2,802.56"
01/16/2018,"2,798.96","2,807.54","2,768.64","2,776.42"
01/12/2018,"2,770.18","2,787.85","2,769.64","2,786.24"
01/11/2018,"2,752.97","2,767.56","2,752.78","2,767.56"
01/10/2018,"2,745.55","2,750.80","2,736.06","2,748.23"
01/09/2018,"2,751.15","2,759.14","2,747.86","2,751.29"
01/08/2018,"2,742.67","2,748.51","2,737.60","2,747.71"
01/05/2018,"2,731.33","2,743.45","2,727.92","2,743.15"
01/04/2018,"2,719.31","2,729.29","2,719.07","2,723.99"
01/03/2018,"2,697.85","2,714.37","2,697.77","2,713.06"
01/02/2018,"2,683.73","2,695.89","2,682.36","2,695.81"
12/29/2017,"2,689.15","2,692.12","2,673.61","2,673.61"
12/28/2017,"2,686.10","2,687.66","2,682.69","2,687.54"
12/27/2017,"2,682.10","2,685.64","2,678.91","2,682.62"
12/26/2017,"2,679.09","2,682.74","2,677.96","2,680.50"
12/22/2017,"2,684.22","2,685.35","2,678.13","2,683.34"
12/21/2017,"2,683.02","2,692.64","2,682.40","2,684.57"
12/20/2017,"2,688.18","2,691.01","2,676.11","2,679.25"
12/19/2017,"2,692.71","2,694.44","2,680.74","2,681.47"
12/18/2017,"2,685.92","2,694.97","2,685.92","2,690.16"
12/15/2017,"2,660.63","2,679.63","2,659.14","2,675.81"
12/14/2017,"2,665.87","2,668.09","2,652.01","2,652.01"
12/13/2017,"2,667.59","2,671.88","2,662.85","2,662.85"
12/12/2017,"2,661.73","2,669.72","2,659.78","2,664.11"
12/11/2017,"2,652.19","2,660.33","2,651.47","2,659.99"
12/08/2017,"2,646.21","2,651.65","2,644.10","2,651.50"
12/07/2017,"2,628.38","2,640.99","2,626.53","2,636.98"
12/06/2017,"2,626.24","2,634.41","2,624.75","2,629.27"
12/05/2017,"2,639.78","2,648.72","2,627.73","2,629.57"
12/04/2017,"2,657.19","2,665.19","2,639.03","2,639.44"
12/01/2017,"2,645.10","2,650.62","2,605.52","2,642.22"
11/30/2017,"2,633.93","2,657.74","2,633.93","2,647.58"
11/29/2017,"2,627.82","2,634.89","2,620.32","2,626.07"
11/28/2017,"2,605.94","2,627.69","2,605.44","2,627.04"
11/27/2017,"2,602.66","2,606.41","2,598.87","2,601.42"
11/24/2017,"2,600.42","2,604.21","2,600.42","2,602.42"
11/22/2017,"2,600.31","2,600.94","2,595.23","2,597.08"
11/21/2017,"2,589.17","2,601.19","2,589.17","2,599.03"
11/20/2017,"2,579.49","2,584.64","2,578.24","2,582.14"
11/17/2017,"2,582.94","2,583.96","2,577.62","2,578.85"
11/16/2017,"2,572.95","2,590.09","2,572.95","2,585.64"
11/15/2017,"2,569.45","2,572.84","2,557.45","2,564.62"
11/14/2017,"2,577.75","2,579.66","2,566.56","2,578.87"
11/13/2017,"2,576.53","2,587.66","2,574.48","2,584.84"
11/10/2017,"2,580.18","2,583.81","2,575.57","2,582.30"
11/09/2017,"2,584.00","2,586.50","2,566.33","2,584.62"
11/08/2017,"2,588.71","2,595.47","2,585.02","2,594.38"
11/07/2017,"2,592.11","2,597.02","2,584.35","2,590.64"
11/06/2017,"2,587.47","2,593.38","2,585.66","2,591.13"
11/03/2017,"2,581.93","2,588.42","2,576.77","2,587.84"
11/02/2017,"2,579.46","2,581.11","2,566.17","2,579.85"
11/01/2017,"2,583.21","2,588.40","2,574.92","2,579.36"
10/31/2017,"2,575.99","2,578.29","2,572.15","2,575.26"
10/30/2017,"2,577.75","2,580.03","2,568.25","2,572.83"
10/27/2017,"2,570.26","2,582.98","2,565.94","2,581.07"
10/26/2017,"2,560.08","2,567.07","2,559.80","2,560.40"
10/25/2017,"2,566.52","2,567.40","2,544.00","2,557.15"
10/24/2017,"2,568.66","2,572.18","2,565.58","2,569.13"
10/23/2017,"2,578.08","2,578.29","2,564.33","2,564.98"
10/20/2017,"2,567.56","2,575.44","2,567.56","2,575.21"
10/19/2017,"2,553.39","2,562.36","2,547.92","2,562.10"
10/18/2017,"2,562.87","2,564.11","2,559.67","2,561.26"
10/17/2017,"2,557.17","2,559.71","2,554.69","2,559.36"
10/16/2017,"2,555.57","2,559.47","2,552.64","2,557.64"
10/13/2017,"2,555.66","2,557.65","2,552.09","2,553.17"
10/12/2017,"2,552.88","2,555.33","2,548.31","2,550.93"
10/11/2017,"2,550.62","2,555.24","2,547.95","2,555.24"
